,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
30077,North Dorchester High School,5875 Cloverdale Road,Hurlock,MD,21643,Supplemental Virtual,590.0,590.0,386.0,39.0999984741211,38.5877,-75.8736,42-Rural: Distant,15.09,Regular school,Currently operational ,High
30087,Urbana High,3471 Campus Dr,Ijamsville,MD,21754,Supplemental Virtual,155.0,1908.0,1055.0,93.0,39.3268,-77.3395,41-Rural: Fringe,20.52,Regular school,Currently operational ,High
30090,Brunswick High,101 Cummings Dr,Brunswick,MD,21716,Supplemental Virtual,160.0,797.0,590.0,43.0099983215332,39.3168,-77.6088,31-Town: Fringe,18.53,Regular school,Currently operational ,High
30092,Catoctin High,14745 Sabillasville Rd,Thurmont,MD,21788,Supplemental Virtual,214.0,719.0,642.0,39.5,39.6389,-77.4097,31-Town: Fringe,18.2,Regular school,Currently operational ,High
30094,Frederick High,650 Carroll Pky,Frederick,MD,21701,Supplemental Virtual,793.0,1542.0,388.0,90.0,39.4167,-77.4261,13-City: Small,17.13,Regular school,Currently operational ,High
30095,Gov. Thomas Johnson High,1501 N Market St,Frederick,MD,21701,Supplemental Virtual,761.0,1744.0,582.0,108.0,39.4339,-77.4059,13-City: Small,16.15,Regular school,Currently operational ,High
30099,Linganore High,12013 Old Annapolis Rd,Frederick,MD,21701,Supplemental Virtual,120.0,1393.0,1162.0,76.0,39.4331,-77.2472,41-Rural: Fringe,18.33,Regular school,Currently operational ,High
30102,Middletown High,200 Schoolhouse Dr,Middletown,MD,21769,Supplemental Virtual,121.0,1149.0,992.0,59.5,39.4466,-77.5344,41-Rural: Fringe,19.31,Regular school,Currently operational ,High
30115,Walkersville High,81 W Frederick Street,Walkersville,MD,21793,Supplemental Virtual,301.0,1219.0,733.0,70.0,39.4754,-77.3613,41-Rural: Fringe,17.41,Regular school,Currently operational ,High
30140,Tuscarora High,5312 Ballenger Creek Pk,Frederick,MD,21703,Supplemental Virtual,518.0,1645.0,690.0,97.5,39.378,-77.4458,22-Suburb: Mid-size,16.87,Regular school,Currently operational ,High
30142,Oakdale High,5850 Eaglehead Drive,Ijamsville,MD,21754,Supplemental Virtual,129.0,1362.0,983.0,70.5,39.39464,-77.30994,22-Suburb: Mid-size,19.32,Regular school,Currently operational ,High
30156,Northern Garrett High School,86 Pride Pkwy,Accident,MD,21520,Supplemental Virtual,173.0,461.0,440.0,36.4099998474121,39.6645,-79.2976,42-Rural: Distant,12.66,Regular school,Currently operational ,High
30158,Southern Garrett High School,345 Oakland Dr,Oakland,MD,21550,Supplemental Virtual,296.0,678.0,653.0,48.4500007629395,39.404198,-79.390176,32-Town: Distant,13.99,Regular school,Currently operational ,High
30169,Aberdeen High,251 Paradise Rd,Aberdeen,MD,21001,Supplemental Virtual,737.0,1441.0,498.0,93.3300018310547,39.5163,-76.1711,22-Suburb: Mid-size,15.44,Regular school,Currently operational ,High
30173,Bel Air High,100 Heighe St,Bel Air,MD,21014,Supplemental Virtual,218.0,1557.0,1146.0,91.3300018310547,39.531077,-76.348008,22-Suburb: Mid-size,17.05,Regular school,Currently operational ,High
30180,Edgewood High,2415 Willoughby Beach Rd,Edgewood,MD,21040,Supplemental Virtual,871.0,1413.0,412.0,82.69000244140621,39.422139,-76.286325,22-Suburb: Mid-size,17.09,Regular school,Currently operational ,High
30181,Fallston High,2301 Carrs Mill Rd,Fallston,MD,21047,Supplemental Virtual,108.0,977.0,838.0,60.25,39.521876,-76.413268,22-Suburb: Mid-size,16.22,Regular school,Currently operational ,High
30187,Havre de Grace High,445 Lewis Lane,Havre de Grace,MD,21078,Supplemental Virtual,262.0,699.0,404.0,43.540000915527294,39.54435,-76.10189,22-Suburb: Mid-size,16.05,Regular school,Currently operational ,High
30194,Joppatowne High,555 Joppa Farm Rd,Joppa,MD,21085,Supplemental Virtual,541.0,782.0,202.0,53.33000183105471,39.4143,-76.3516,22-Suburb: Mid-size,14.66,Regular school,Currently operational ,High
30199,North Harford High,211 Pylesville Rd,Pylesville,MD,21132,Supplemental Virtual,217.0,1226.0,1118.0,71.6999969482422,39.676,-76.4003,42-Rural: Distant,17.1,Regular school,Currently operational ,High
30207,C. Milton Wright High,1301 N Fountain Green Rd,Bel Air,MD,21015,Supplemental Virtual,247.0,1330.0,1026.0,80.3300018310547,39.561491,-76.330022,22-Suburb: Mid-size,16.56,Regular school,Currently operational ,High
30210,Patterson Mill High School,85 Patterson Mill Rd,Bel Air,MD,21015,Supplemental Virtual,151.0,836.0,599.0,51.25,39.507129,-76.324471,22-Suburb: Mid-size,16.31,Regular school,Currently operational ,High
30224,Atholton High,6520 Freetown Rd,Columbia,MD,21044,Supplemental Virtual,198.0,1472.0,516.0,90.8000030517578,39.1882,-76.8806,13-City: Small,16.21,Regular school,Currently operational ,High
30227,Centennial High,4300 Centennial Ln,Ellicott City,MD,21042,Supplemental Virtual,100.0,1467.0,566.0,88.0999984741211,39.253,-76.8686,41-Rural: Fringe,16.65,Regular school,Currently operational ,High
30233,Glenelg High,14025 Burnt Woods Rd,Glenelg,MD,21737,Supplemental Virtual,42.0,1263.0,888.0,76.1999969482422,39.275489,-77.002036,31-Town: Fringe,16.57,Regular school,Currently operational ,High
