,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,VIRTUAL,TOTFRL,TOTAL,WH,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL
29549,Lake Shore Elementary,4531 Mountain Rd,Pasadena,MD,21122,Supplemental Virtual,73.0,317.0,275.0,24.7000007629395,39.1064,-76.4935,41-Rural: Fringe,12.83,Regular school,Currently operational ,Elementary
29550,Lindale Middle,415 Andover Rd,Linthicum,MD,21090,Supplemental Virtual,647.0,1194.0,490.0,83.5,39.1958,-76.66199999999999,21-Suburb: Large,14.3,Regular school,Currently operational ,Middle
29551,Linthicum Elementary,101 School Ln,Linthicum,MD,21090,Supplemental Virtual,127.0,449.0,319.0,33.4000015258789,39.2023,-76.6527,21-Suburb: Large,13.44,Regular school,Currently operational ,Elementary
29552,Lothian Elementary,5175 Solomons Island Rd,Lothian,MD,20711,Supplemental Virtual,249.0,472.0,229.0,36.2000007629395,38.826708,-76.612695,41-Rural: Fringe,13.04,Regular school,Currently operational ,Elementary
29553,MacArthur Middle,3500 Rockenbach Road,Fort Meade,MD,20755,Supplemental Virtual,446.0,898.0,172.0,76.2600021362305,39.1172,-76.7466,21-Suburb: Large,11.78,Regular school,Currently operational ,Middle
29554,Magothy River Middle,241 Peninsula Farm Rd,Arnold,MD,21012,Supplemental Virtual,94.0,714.0,533.0,50.4000015258789,39.059188,-76.514319,21-Suburb: Large,14.17,Regular school,Currently operational ,Middle
29555,Manor View Elementary,2900 Macarthur Rd,Ft Meade,MD,20755,Supplemental Virtual,70.0,235.0,89.0,22.2000007629395,39.111891,-76.74074499999999,21-Suburb: Large,10.59,Regular school,Currently operational ,Elementary
29556,Marley Elementary,715 Cooper Rd,Glen Burnie,MD,21060,Supplemental Virtual,409.0,778.0,202.0,56.2999992370605,39.144012,-76.595987,21-Suburb: Large,13.82,Regular school,Currently operational ,Elementary
29558,Marley Middle,10 Davis Ct,Glen Burnie,MD,21060,Supplemental Virtual,606.0,956.0,335.0,75.0,39.148655,-76.595606,21-Suburb: Large,12.75,Regular school,Currently operational ,Middle
29559,Maryland City Elementary,3359 Crumpton South,Laurel,MD,20724,Supplemental Virtual,327.0,389.0,14.0,33.0999984741211,39.096,-76.8176,21-Suburb: Large,11.75,Regular school,Currently operational ,Elementary
29560,Mayo Elementary,1260 Mayo Ridge Rd,Edgewater,MD,21037,Supplemental Virtual,36.0,353.0,286.0,25.100000381469698,38.8963,-76.5111,21-Suburb: Large,14.06,Regular school,Currently operational ,Elementary
29561,Meade Heights Elementary,1925 Reece Road,Ft. Meade,MD,20755,Supplemental Virtual,215.0,414.0,60.0,35.2999992370605,39.118017,-76.718234,21-Suburb: Large,11.73,Regular school,Currently operational ,Elementary
29562,Meade High,1100 Clark Road,Ft Meade,MD,20755,Supplemental Virtual,1101.0,2087.0,245.0,127.400001525879,39.1224,-76.7378,21-Suburb: Large,16.38,Regular school,Currently operational ,High
29563,Millersville Elementary,1601 Millersville Rd,Millersville,MD,21108,Supplemental Virtual,54.0,349.0,259.0,27.5,39.0553,-76.6396,21-Suburb: Large,12.69,Regular school,Currently operational ,Elementary
29564,North Glen Elementary,615 West Furnace Branch Rd,Glen Burnie,MD,21061,Supplemental Virtual,217.0,303.0,85.0,25.2000007629395,39.193243,-76.62429200000001,21-Suburb: Large,12.02,Regular school,Currently operational ,Elementary
29565,Northeast High,1121 Duvall Hwy,Pasadena,MD,21122,Supplemental Virtual,455.0,1364.0,979.0,77.3499984741211,39.1444,-76.5291,21-Suburb: Large,17.63,Regular school,Currently operational ,High
29566,Oak Hill Elementary,34 Truckhouse Rd,Severna Park,MD,21146,Supplemental Virtual,41.0,639.0,519.0,39.5,39.083797,-76.569027,21-Suburb: Large,16.18,Regular school,Currently operational ,Elementary
29567,Oakwood Elementary,330 Oak Manor Dr,Glen Burnie,MD,21061,Supplemental Virtual,184.0,339.0,137.0,27.7000007629395,39.1443,-76.628,21-Suburb: Large,12.24,Regular school,Currently operational ,Elementary
29568,Odenton Elementary,1290 Odenton Rd,Odenton,MD,21113,Supplemental Virtual,215.0,519.0,177.0,40.2999992370605,39.0834,-76.6972,21-Suburb: Large,12.88,Regular school,Currently operational ,Elementary
29569,Old Mill Middle North,610 Patriot Ln,Millersville,MD,21108,Supplemental Virtual,543.0,1042.0,312.0,75.2600021362305,39.123876,-76.627023,21-Suburb: Large,13.85,Regular school,Currently operational ,Middle
29570,Old Mill Middle South,620 Patriot Ln,Millersville,MD,21108,Supplemental Virtual,380.0,1018.0,495.0,73.7600021362305,39.123340999999996,-76.62652299999999,21-Suburb: Large,13.8,Regular school,Currently operational ,Middle
29571,Old Mill High,600 Patriot Ln,Millersville,MD,21108,Supplemental Virtual,977.0,2364.0,906.0,140.0,39.122621,-76.62826,21-Suburb: Large,16.89,Regular school,Currently operational ,High
29572,Overlook Elementary,401 Hampton Rd,Linthicum,MD,21090,Supplemental Virtual,190.0,355.0,182.0,26.600000381469698,39.2133,-76.6514,21-Suburb: Large,13.35,Regular school,Currently operational ,Elementary
29573,Park Elementary,201 East 11th Ave,Baltimore,MD,21225,Supplemental Virtual,434.0,522.0,165.0,39.2000007629395,39.2227,-76.6103,21-Suburb: Large,13.32,Regular school,Currently operational ,Elementary
29574,Walter S. Mills - Parole Elementary,1 George and Marion Phelps Lane,Annapolis,MD,21401,Supplemental Virtual,531.0,555.0,9.0,53.9000015258789,38.978322,-76.52644599999999,21-Suburb: Large,10.3,Regular school,Currently operational ,Elementary
29575,Pasadena Elementary,401 East Pasadena Rd,Pasadena,MD,21122,Supplemental Virtual,71.0,347.0,288.0,28.2999992370605,39.109184,-76.567723,21-Suburb: Large,12.26,Regular school,Currently operational ,Elementary
29576,Pershing Hill Elementary,7600 29th Division Road,Ft Meade,MD,20755,Supplemental Virtual,145.0,491.0,216.0,41.0999984741211,39.115634,-76.75409499999999,21-Suburb: Large,11.95,Regular school,Currently operational ,Elementary
29577,Point Pleasant Elementary,1035 Dumbarton Rd,Glen Burnie,MD,21060,Supplemental Virtual,308.0,510.0,289.0,42.5,39.1731,-76.5926,21-Suburb: Large,12.0,Regular school,Currently operational ,Elementary
29578,Quarterfield Elementary,7967 Quarterfield Rd,Severn,MD,21144,Supplemental Virtual,200.0,445.0,146.0,31.2999992370605,39.1343,-76.6546,21-Suburb: Large,14.22,Regular school,Currently operational ,Elementary
29579,Richard Henry Lee Elementary,400 A Street,Glen Burnie,MD,21061,Supplemental Virtual,290.0,472.0,178.0,34.0,39.160212,-76.630045,21-Suburb: Large,13.88,Regular school,Currently operational ,Elementary
29580,Ridgeway Elementary,1440 Evergreen Rd,Severn,MD,21144,Supplemental Virtual,164.0,632.0,285.0,43.5,39.116292,-76.689858,21-Suburb: Large,14.53,Regular school,Currently operational ,Elementary
29581,Rippling Woods Elementary,530 Nolfield Dr,Glen Burnie,MD,21061,Supplemental Virtual,377.0,577.0,180.0,40.7999992370605,39.1285,-76.6285,21-Suburb: Large,14.14,Regular school,Currently operational ,Elementary
29582,Riviera Beach Elementary,8515 Jenkins Rd,Pasadena,MD,21122,Supplemental Virtual,113.0,280.0,224.0,21.7999992370605,39.1595,-76.5118,21-Suburb: Large,12.84,Regular school,Currently operational ,Elementary
29583,Rolling Knolls Elementary,1985 Valley Rd,Annapolis,MD,21401,Supplemental Virtual,145.0,374.0,169.0,34.2000007629395,38.997803999999995,-76.556494,21-Suburb: Large,10.94,Regular school,Currently operational ,Elementary
29584,Severn Elementary,838 Reece Rd,Severn,MD,21144,Supplemental Virtual,210.0,544.0,104.0,34.0,39.1379,-76.6901,21-Suburb: Large,16.0,Regular school,Currently operational ,Elementary
29585,Severn River Middle,241 Peninsula Farm Rd,Arnold,MD,21012,Supplemental Virtual,127.0,801.0,588.0,55.0200004577637,39.059607,-76.51311,21-Suburb: Large,14.56,Regular school,Currently operational ,Middle
29586,Severna Park Elementary,6 Riggs Ave,Severna Park,MD,21146,Supplemental Virtual,28.0,392.0,333.0,26.399999618530302,39.0724,-76.5484,21-Suburb: Large,14.85,Regular school,Currently operational ,Elementary
29587,Severna Park Middle,450 Jumpers Hole Rd,Severna Park,MD,21146,Supplemental Virtual,101.0,1412.0,1130.0,88.37999725341801,39.0873,-76.5859,21-Suburb: Large,15.98,Regular school,Currently operational ,Middle
29588,Severna Park High,60 Robinson Rd,Severna Park,MD,21146,Supplemental Virtual,107.0,1880.0,1525.0,99.0699996948242,39.076969,-76.560963,21-Suburb: Large,18.98,Regular school,Currently operational ,High
29589,Shady Side Elementary,4859 Atwell Rd,Shady Side,MD,20764,Supplemental Virtual,77.0,430.0,352.0,32.7999992370605,38.8409,-76.5059,31-Town: Fringe,13.11,Regular school,Currently operational ,Elementary
29590,Solley Elementary,7608 Solley Rd,Glen Burnie,MD,21060,Supplemental Virtual,250.0,735.0,453.0,47.0999984741211,39.1746,-76.5547,21-Suburb: Large,15.61,Regular school,Currently operational ,Elementary
29591,South Shore Elementary,1376 Fairfield Loop Rd,Crownsville,MD,21032,Supplemental Virtual,75.0,268.0,175.0,24.0,39.0346,-76.6055,21-Suburb: Large,11.17,Regular school,Currently operational ,Elementary
29592,Southern Middle,5235 Solomons Island Rd,Lothian,MD,20711,Supplemental Virtual,307.0,790.0,516.0,56.5,38.8233,-76.6096,41-Rural: Fringe,13.98,Regular school,Currently operational ,Middle
29593,Southern High,4400 Solomons Island Rd,Harwood,MD,20776,Supplemental Virtual,307.0,1032.0,719.0,66.0,38.8686,-76.6192,41-Rural: Fringe,15.64,Regular school,Currently operational ,High
29594,Southgate Elementary,290 Shetlands Ln,Glen Burnie,MD,21061,Supplemental Virtual,401.0,734.0,247.0,50.2999992370605,39.128398,-76.614695,21-Suburb: Large,14.59,Regular school,Currently operational ,Elementary
29595,Sunset Elementary,8572 Fort Smallwood Rd,Pasadena,MD,21122,Supplemental Virtual,132.0,418.0,328.0,30.7000007629395,39.1543,-76.523,21-Suburb: Large,13.62,Regular school,Currently operational ,Elementary
29596,Traceys Elementary,20 Deale Rd,Traceys Landing,MD,20779,Supplemental Virtual,197.0,398.0,216.0,29.100000381469698,38.780774,-76.593314,41-Rural: Fringe,13.68,Regular school,Currently operational ,Elementary
29597,Tyler Heights Elementary,200 Janwall St,Annapolis,MD,21403,Supplemental Virtual,430.0,467.0,3.0,43.7999992370605,38.955639,-76.499579,21-Suburb: Large,10.66,Regular school,Currently operational ,Elementary
29598,Van Bokkelen Elementary,1140 Reece Rd,Severn,MD,21144,Supplemental Virtual,330.0,381.0,15.0,38.0999984741211,39.1225,-76.7082,21-Suburb: Large,10.0,Regular school,Currently operational ,Elementary
29599,Waugh Chapel Elementary,840 Sunflower Dr,Odenton,MD,21113,Supplemental Virtual,135.0,631.0,300.0,41.5999984741211,39.0652,-76.6963,21-Suburb: Large,15.17,Regular school,Currently operational ,Elementary
29600,West Annapolis Elementary,505 Melvin Avenue,Annapolis,MD,21401,Supplemental Virtual,42.0,215.0,132.0,20.6000003814697,38.991489,-76.50355400000001,21-Suburb: Large,10.44,Regular school,Currently operational ,Elementary
29601,West Meade Early Education Center,7722 Ray Street,Ft Meade,MD,20755,Supplemental Virtual,45.0,210.0,119.0,19.0,39.1202,-76.7593,21-Suburb: Large,11.05,Regular school,Currently operational ,Elementary
29602,Woodside Elementary,160 Funke Rd,Glen Burnie,MD,21061,Supplemental Virtual,251.0,340.0,110.0,56.5999984741211,39.1408,-76.6147,21-Suburb: Large,6.01,Regular school,Currently operational ,Elementary
29603,Meade Middle,1103 26th St,Fort Meade,MD,20755,Supplemental Virtual,593.0,826.0,67.0,69.5,39.125,-76.7368,21-Suburb: Large,11.88,Regular school,Currently operational ,Middle
29604,Chesapeake Science Point,7321 Parkway Drive South,Hanover,MD,21076,Supplemental Virtual,108.0,500.0,138.0,32.0,39.167998,-76.734678,21-Suburb: Large,15.63,Regular school,Currently operational ,High
29605,Broadneck High,1265 Green Holly Dr,Annapolis,MD,21409,Supplemental Virtual,301.0,2233.0,1634.0,121.930000305176,39.0398,-76.4536,21-Suburb: Large,18.31,Regular school,Currently operational ,High
29606,Crofton Middle,2301 Davidsonville Rd,Gambrills,MD,21054,Supplemental Virtual,201.0,1339.0,720.0,79.63999938964841,38.9971,-76.6703,21-Suburb: Large,16.81,Regular school,Currently operational ,Middle
